Date,Description,Amount
2026-05-01,Walmart Groceries,-87.43
2026-05-01,Salary Deposit,3200.00
2026-05-02,Uber Eats,-24.50
2026-05-03,Shell Gas Station,-52.18
2026-05-04,Netflix Subscription,-15.99
2026-05-05,Amazon Purchase,-142.67
2026-05-06,Starbucks,-6.45
2026-05-07,Electric Bill,-89.12
2026-05-08,Whole Foods,-92.10
2026-05-09,Salary Deposit,3200.00
2026-05-10,Uber Eats,-18.30
2026-05-11,BP Gas Station,-48.75
2026-05-12,Spotify,-9.99
2026-05-13,Target,-67.20
2026-05-14,Costa Coffee,-5.80
2026-05-15,Internet Bill,-45.00
2026-05-16,Trader Joes,-110.50
2026-05-17,Salary Deposit,3200.00
2026-05-18,Uber Eats,-389.90
2026-05-19,Chevron,-61.30
2026-05-20,Adobe Creative Cloud,-54.99
2026-05-21,ASOS,-234.99
2026-05-22,Pret A Manger,-8.20
2026-05-23,Water Bill,-32.50
2026-05-24,Walmart Groceries,-95.20
2026-05-25,Salary Deposit,3200.00
2026-05-26,Deliveroo,-22.40
2026-05-27,Shell Gas Station,-55.90
2026-05-28,Apple TV,-6.99
2026-05-29,Zara,-189.50
2026-05-30,Starbucks,-7.10
2026-05-31,Phone Bill,-65.00
